scenario_id,seed,baseline_route,baseline_risk_label,attacked_route,attacked_risk_label,attack_success,stealth_score,anomaly_budget_passed,events_generated,replay_lag_s,rtt_extra_ms,packet_loss_extra,imu_suppression,log_delay_s,objective_score
1,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,91.23,True,189,16.0,25.0,0.036,0.85,0.5,1248.1558
2,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,93.23,True,144,20.0,10.0,0.0,0.85,0.5,1261.6683
3,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,86.57,True,144,22.0,10.0,0.036,0.85,0.5,1233.4158
4,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,87.77,True,189,22.0,10.0,0.036,0.85,0.5,1236.9808
5,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,92.98,True,171,20.0,10.0,0.0,0.85,0.5,1261.2008
6,42,HOLD_POSITION,DANGER,HOLD_POSITION,DANGER,False,95.75,True,144,8.0,10.0,0.0,0.85,0.5,264.7508
7,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,92.77,True,189,20.0,10.0,0.036,0.85,0.5,1253.3933
8,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,94.24,True,144,12.0,10.0,0.0,0.85,0.5,1269.0883
9,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,92.11,True,144,20.0,10.0,0.036,0.85,0.5,1251.0308
10,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,95.15,True,144,12.0,10.0,0.0,0.85,0.5,1271.5733
11,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,85.9,True,171,22.0,25.0,0.036,0.85,0.5,1229.5608
12,42,HOLD_POSITION,DANGER,MOVE_UGV_TO_ROUTE_A,SAFE,True,94.68,True,144,12.0,10.0,0.0,0.85,0.5,1270.0208
